query,impressions,clicks,position
"capital doorworks",19,0,36.6
"guardian garage doors perth",10,0,45.9
"guardian doors perth",8,0,45.2
"merlin garage door service near me",5,0,3.0
"liftmaster garage door spring replacement cost",4,0,9.0
"b&d garage doors joondalup",3,0,28.3
"gliderol garage doors",3,0,3.7
"steel line garage doors service",3,0,2.7
"b&d garage door service",2,0,3.0
"b&d garage door service cost",2,0,15.5
"b&d roller door service near me",2,0,4.0
"b&d roller doors perth",2,0,28.5
"genie garage door opener repair",2,0,29.5
"gliderol garage door service",2,0,3.0
"steel line garage door service cost",2,0,22.0
"superlift garage door motor price",2,0,3.5
"avanti garage door remote replacement",1,0,9.0
"b & d roller doors",1,0,3.0
"b and d doors",1,0,4.0
"b&d door",1,0,5.0
"b&d garage door repairs near me",1,0,5.0
"b&d garage doors service",1,0,4.0
"b&d roller door motor price",1,0,2.0
"b&d roller door motor replacement",1,0,3.0
"b&d roller door parts list pdf",1,0,6.0
"centurion garage door repairs",1,0,6.0
"chamberlain garage door opener repair",1,0,29.0
"dominator garage door not working",1,0,33.0
"dominator garage motor",1,0,6.0
"eastern garage doors",1,0,3.0
"gliderol adelaide",1,0,2.0
"gliderol garage door repairs",1,0,4.0
"gliderol garage door repairs near me",1,0,3.0
"gliderol garage doors manual",1,0,4.0
"gliderol garage doors service",1,0,5.0
"gliderol garage motor",1,0,3.0
"gliderol motor",1,0,11.0
"gliderol roller door parts list",1,0,5.0
"guardian garage doors",1,0,40.0
"how to reset gliderol garage door remote",1,0,3.0
"jaytech 1200 v4 price",1,0,2.0
"liftmaster garage door opener repair",1,0,30.0
"liftmaster garage door stops while opening",1,0,1.0
"merlin garage door motor",1,0,2.0
"merlin garage door not closing",1,0,2.0
"merlin garage door service",1,0,2.0
"steel line",1,0,2.0
"steel line garage door service",1,0,2.0
"steel line garage doors perth",1,0,29.0
"steel line garage doors spare parts bunnings",1,0,9.0
