# capitalgaragedoors.com.au — top 50 by traffic (AU db, 2026-08-05)
keyword;position;prev;volume;cpc;url;traffic;kd
garage door opener repair;2;2;1000;7.59;/garage-door-opener-repair-perth;13;33
garage door emergency repairs;2;2;320;14.38;/;11;22
garage door spring installation cost;4;4;320;6.14;/garage-door-spring-replacement-cost-perth;7;12
emergency garage door;1;1;50;10.97;/;6;4
emergency garage door repairs perth;4;4;170;8.63;/;4;16
emergency garage door repair service;3;3;90;0;/;3;12
roller door;30;new;4400;2.54;/roller-doors-perth;3;18
garage door repairs safety bay;7;7;90;0;/garage-door-repairs-rockingham;2;2
garage door motor replacement cost;7;7;260;4.42;/garage-door-repair-cost-perth;2;4
garage doors openers repairs;8;8;480;7.59;/garage-door-opener-repair-perth;2;6
garage door opener installers;3;3;70;4.83;/garage-door-opener-repair-perth;2;13
emergency garage door repairs;25;25;720;12.93;/emergency-garage-door-repairs-perth;1;6
garage door torsion springs;4;4;140;5.95;/blog/garage-door-springs-guide;1;6
garage door repairs perth;23;23;880;16.59;/;1;47
garage doors cannington;6;6;70;0;/;1;20
garage door repairs gosnells;5;5;70;0;/garage-door-repairs-gosnells;1;4
garage door opener technician;1;1;50;6.43;/garage-door-opener-repair-perth;1;17
garage doors maintenance;38;38;110;9.14;/maintenance-service;0;17
commercial roller door repair perth;16;16;50;0;/commercial-roller-doors-perth;0;40
how much is it to replace a garage door;23;23;70;2.57;/garage-door-repair-cost-perth;0;14
garage door replacement cost;37;37;320;2.86;/cost-guides;0;4
fixing garage door;25;25;480;10.71;/blogs;0;20
commercial roller doors;33;33;1000;4.03;/commercial-roller-doors-perth;0;7
garage doors repairs perth;36;36;170;16.59;/;0;49
perth garage door;56;56;110;6.15;/services/garage-doors;0;45
garage door servicing perth;20;20;210;11.08;/;0;44
garage doors rockingham;34;34;140;7.05;/;0;17
garage doors perth price;9;9;50;2.66;/roller-doors-perth;0;12
garage door panel replacement cost;37;37;110;3.29;/blogs/garage-door-repair-costs-perth;0;6
garage doors installers;27;27;50;5.38;/garage-door-installation-perth;0;30
garage door not opening with remote;34;34;50;3.41;/problems/garage-door-remote-not-working;0;4
perth roller doors;43;43;70;5.69;/roller-doors-perth;0;43
# NOTE: multiple keywords ranked by the HOMEPAGE instead of the dedicated page (cannibalisation):
#   garage door repairs perth -> / at 23; garage door servicing perth -> / at 20; suburb terms -> /
# NOTE: legacy URLs still ranking: /services/garage-doors, /blogs/*, /maintenance-service (301s hold equity)
