# perthgaragedoorsrepairs.com.au — top 50 by traffic (AU db, 2026-08-05). ALL rank from the homepage unless noted.
keyword;position;volume;cpc;traffic;kd
garage door repair;1;5400;10.71;237;23
garage door repairs;1;3600;10.71;234;19
roller door repairs;3;2900;10.26;87;17
garage door repair garage door;5;3600;10.71;86;38
garage door repair near me;1;1300;9.46;84;20
perth garage door repairs;1;320;10.12;79;46
residential garage doors perth;2;480;6.50;63;48
garage door fix near me;1;1300;9.46;57;18
garage door repairs near me;1;1300;8.84;57;20
garage door repairs perth;1;880;16.59;57;47
garage door maintenance perth;1;210;11.08;52;46
fix garage door near me;1;1000;8.84;44;40
garage doors repairs;1;590;10.71;38;47
garage door servicing;2;1000;9.35;35;28
perth garage doors repairs;1;140;10.12;34;48
garage door services;1;480;8.30;31;43
garage door fitters;2;880;5.36;30;44
perth garage door repair;1;110;10.12;27;49
garage door repair opener;1;110;6.40;27;40
roller door repairs perth;1;390;14.86;25;30
garage doors repairs near me;1;390;8.84;25;26
garage door service near me;2;720;9.31;25;27
garage door repair perth;2;590;16.59;25;49
garage door repair services near me;2;590;8.84;25;23
garage door service perth;1;390;11.08;25;50
roller door repair near me;1;480;8.00;21;27
garage doors openers repairs;1;480;7.59;21;6
roller door repairs near me;4;880;8.00;21;49
garage door maintenance near me;2;480;8.91;16;28
garage door service cost perth;1;110;4.78;14;14 (/about/)
garage door servicing perth;1;210;11.08;13;44
garage repairs near me;1;210;10.05;13;30
garage doors fixing;2;390;10.75;13;28
garage door repairs perth wa;1;210;16.16;13;46
fixing garage door;1;480;10.71;11;20
garage door repair service;2;320;8.57;11;28
garage doors repairs perth;1;170;16.59;11;49
garage repair;1;320;12.62;11;26
garage roller door repairs;3;590;9.78;11;18
garage doors repair;2;320;10.75;11;32
fixed garage door;2;390;10.71;11;29
garage opener repair;2;480;7.59;11;31
garage repair near me;1;260;10.68;11;7
emergency garage door repairs perth;1;170;8.63;11;16
roller door repair;8;720;10.26;9;22
garage door service perth wa;1;140;11.08;9;49
garage door repair prices;3;210;4.87;9;10 (/about/)
service garage door repair;2;260;8.57;9;35
garage door experts;2;110;6.64;7;8
repair garage door near me;2;210;8.84;7;6

# acegaragedoorrepairsperth.com.au — top 40 by traffic (homepage-centric, same cluster at pos 1-9)
# (see semrush-baseline.md; largely duplicates the list above at positions 1-9)

# edenrocgaragedoors.com.au — top 50 by traffic. NOTE the non-branded winners & their URLs:
keyword;position;volume;url;traffic;kd
garage doors perth;1;1300;/;84;50
garage door panels;1;590;/parts/panels/;77;14
garage door panel replacement;1;170;/parts/panels/;42;6
residential garage doors perth;3;480;/;39;48
garage door repairs perth;3;880;/;30;47
glass garage doors;1;210;/glass/;27;3
parts for roller doors;2;320;/product-category/roller-door-parts/;26;2
garage rails door;1;140;/product-category/sectional-door-parts/;34;4
garage doors quinns rocks;1;90;/locations/quinns-rocks/;22;17
merlin 430r;1;90;/wp-content/uploads/.../Merlin-430R-User-Manual.pdf;22;6
garage doors padbury;1;90;/locations/padbury/;22;14
garage door track;1;140;/product-category/sectional-door-parts/;18;7
garage door repairs kingsley;1;70;/locations/kingsley/;17;4
overhead door spring;2;480;/garage-door-springs/;11;6
avanti garage door remote;6;480;/wp-content/uploads/.../Avanti-Remote-Coding-Instructions.pdf;10;14
roller door track;1;170;/product-category/roller-door-parts/;13;4
tilt a door;2;140;/product-category/tilt-door-parts/;11;4
garage door hinge;2;170;(shop item);13;8
# Lesson: parts pages, location pages, manuals/PDF resources and a glass-doors niche page all earn real traffic at KD<=14.
