domain;domain_ascore;backlinks_num
yellowpages.com.au;50;12
truelocal.com.au;39;2
qualitybusinessawards.com.au;33;4
purelocal.com.au;30;2
linkcentre.com;28;3
dlook.com.au;27;1
tntcode.com;27;1
fyple.biz;26;1
bye.fyi;23;1
homeimprovement2day.com.au;23;256
trustratings.com;19;2
perthlashextensions.com.au;17;2
agentweb.live;15;1
avenueperth.com;15;1
excellenttradesmen.com;13;3
websitescrawl.com;12;1
perthtans.com.au;9;26
starworks.com.au;9;4
findlocaltrades.com.au;7;9
seol.store;7;1
domaindexer.com;6;1
jake.eu;6;2
onlyhealthydeals.com;6;2
quero.party;6;1
screenshots.wiki;6;3
shortenurls.eu;6;2
supertrades.com.au;6;2
toplikevideo.com;6;2
upbusinesses.com;6;3
# --- remaining ~60 rows were AS<=5 spam/PBN (incl. cheapgaragedoorsnearme.com x1046, rivalgroup.com.tr x312, casino/link-farm domains) — omitted; do NOT replicate ---
