domain;domain_ascore;backlinks_num
yahoo.com;100;1
alibaba.com;80;1
re-thinkingthefuture.com;49;1
female.com.au;45;1
e-architect.com;44;1
thearchitectsdiary.com;44;3
ezilon.com;42;3
techbullion.com;42;1
amazingarchitecture.com;41;4
oneflare.com.au;41;1
hometriangle.com;40;1
bnd.com.au;37;1
kulfiy.com;36;1
we-heart.com;36;1
buggybuddys.com.au;35;1
urbansplatter.com;35;1
tamaracamerablog.com;34;1
thepinnaclelist.com;34;10
tinyhouse.com;33;1
optimisticmommy.com;32;1
abilogic.com;31;2
ahouseinthehills.com;31;1
anationofmoms.com;31;1
thedevondaily.co.uk;31;1
bdcmagazine.com;30;1
getlisteduae.com;30;1
mothersalwaysright.com;30;1
businessdailymedia.com;29;2
thehometrotters.com;29;2
bookmark4you.com;28;3
businessoutstanders.com;28;1
elevatedmagazines.com;28;1
linkcentre.com;28;2
solutionhow.com;28;1
activepropertycare.com;27;1
middleclasshomes.net;27;1
urdesignmag.com;27;1
allblogthings.com;26;1
customhomesonline.com.au;25;1
heckhome.com;25;1
designrelated.com;24;1
mozconcepts.com;24;1
appkod.com;23;1
findpostcode.com.au;23;1
homeimprovement2day.com.au;23;316
hudsonfarmhouse.com;23;1
searchfrog.com.au;23;1
skyryedesign.com;23;1
advicescout.com;22;2
dailybulletin.com.au;21;22
freelistingaustralia.com;21;1
tradeheroes.com.au;21;1
tastefulspace.com;19;1
avenueperth.com;15;1
technofizi.net;15;1
truefinders.com.au;15;4
titaniumgaragedoors.com.au;14;3
excellenttradesmen.com;13;11
intently.co;13;4
coais.com;11;8
offgridwa.com.au;11;1420
perthbuildinginspectors.com.au;10;355
arigaragedoors.com.au;9;619
jaytechopeners.com.au;9;1
secondpage.com.au;9;1
starworks.com.au;9;2
vgtechs.com.au;9;354
asapgaragedoorsrepair.com;8;1
dgcleaningservices.com.au;8;424
car-detailing-perth.com.au;7;707
findlocaltrades.com.au;7;1
uprenovations.com;7;11
cobragaragedoors.com.au;6;4
gkhi.com.au;6;585
globalbusinesslisting.org;6;1
iformative.com;6;1
searchlocally.com.au;6;12
supertrades.com.au;6;1
upbusinesses.com;6;11
# --- NOTE: the AS 6-11 rows with 300-1400 backlinks (offgridwa, arigaragedoors, gkhi, car-detailing-perth, vgtechs, dgcleaningservices, perthbuildinginspectors, wolf-finance) look like a sitewide-footer/blogroll link network among Perth small-biz sites — moderate risk, skip ---
# --- remaining rows were AS<=5 spam — omitted ---
