domain;domain_ascore;backlinks_num
yahoo.com;100;1
whereis.com;52;1
yellowpages.com.au;52;69
truelocal.com.au;36;49
tntcode.com;25;1
backlinks-checker.com;23;1
homeimprovement2day.com.au;23;256
bye.fyi;21;2
avenueperth.com;15;1
intently.co;13;2
jake.eu;12;2
websitescrawl.com;12;1
starworks.com.au;9;2
find-open.biz;8;2
findlocaltrades.com.au;7;1
seol.store;7;1
articlement.com;6;1
creativeposts.top;6;2
developmentmi.com;6;1
kingranks.com;6;2
quero.party;6;1
starcourts.com;6;1
supertrades.com.au;6;1
wayranks.com;6;2
webranksite.com;6;2
webscountry.com;6;2
# --- remaining ~90 rows were AS<=5 spam/PBN/link-farm domains (seo-directory networks, buy-backlink sites, casino blogspots) — omitted deliberately; do NOT replicate ---
