# towergaragedoors.com.au (AS 10, 181 ref domains) — legit portion
domain;domain_ascore;backlinks_num
bing.com;91;3
yellowpages.com.au;51;1
oneflare.com.au;41;1
truelocal.com.au;38;2
archipro.com.au;37;2
stylesourcebook.com.au;34;4
homeone.com.au;28;1774
dlook.com.au;27;1
oakandorange.com.au;27;4
fyple.biz;26;1
granddesignsmag.com.au;19;1
poidata.io;14;2
top4.online;12;8
macquariegaragedoors.com.au;11;1
findlocalbusiness.au;8;1
swanhillgaragedoors.com.au;7;1
cbdarchitects.com.au;6;1
davidtomic.com.au;6;1
# (tail = same .web.app/PBN spam network as the others — omitted)

# slideandglide.com.au (AS 19, 126 ref domains) — legit portion
domain;domain_ascore;backlinks_num
yahoo.com;100;1
waze.com;99;2
bing.com;94;2
whitepages.com.au;55;4
webnode.page;53;4
yellowpages.com.au;52;29
centerblog.net;45;4
siteprice.org;41;1
apsense.com;39;2
bnd.com.au;37;1
truelocal.com.au;36;10
callupcontact.com;32;1
econnex.com.au;32;1
threebestrated.com.au;30;2
bookmark4you.com;28;22
nationaldirectory.com.au;28;62
datagemba.com;27;2
prfree.org;27;3
fyple.biz;26;1
cgdoors.com.au;24;1
findpostcode.com.au;23;2
homeimprovement2day.com.au;23;193
searchfrog.com.au;23;1
atozpages.com.au;22;58
sunshinecoastgaragedoorrepairs.com.au;21;1
whatsyourhours.com;21;1
truefinders.com.au;15;4
handymanreviewed.com;11;2
metrogaragedoorsinc.com;11;1
ezyliftgaragedoors.au;8;3
hd2.com.au;8;2
ozfinda.com.au;7;3
searchlocally.com.au;6;12
swanadvertising.com.au;6;2
# (tail = .web.app/PBN spam — omitted)

# geckogaragedoors.com.au (AS 8, 103 ref domains) — legit portion (small!)
domain;domain_ascore;backlinks_num
digitalhq.com.au;17;27
perthsites.com.au;11;6
jaytechopeners.com.au;9;1
findlocaltrades.com.au;7;1
# (rest was almost entirely .web.app spam network + link farms — gecko's profile is mostly junk)
